compound	name	formula	charge	n_reactions	offset	abs_offset	mass	eq_uncertainty	heavy_atoms	n_rings	n_arom_atoms	n_conj_bonds	frac_conj	n_stereo	n_rotatable	logp	n_distinct_r1_frags	frag_failures
cpd40582	1-(9Z-octadecenoyl)-glycerol	C21H40O4	0	6	11.7860	11.7860	10000000.0000	1.5575	25	0	0	2	0.0833	1	18	4.9203	9	0
cpd05267	Ribose	C5H10O5	0	12	-11.7850	11.7850	150.0000	0.3535	10	1	0	0	0.0000	4	0	-2.5823	6	0
cpd00016	Pyridoxal phosphate	C8H8NO6P	-2	19	-11.7230	11.7230	246.0000	0.9393	16	1	6	9	0.5625	0	4	-0.7466	15	0
cpd02788	Inositol 1,2,3,5,6-pentakisphosphate	C6H7O21P5	-10	11	-11.7050	11.7050	575.0000	2.1868	32	1	0	0	0.0000	6	10	-9.5696	7	0
cpd08727	dTDP 1-ester with (6R)-5,6-dihydro-4-hydroxy-6-methyl-5-oxo-2H-pyran	C16H20N2O14P2	-2	8	-11.6730	11.6730	525.0000	1.8054	34	3	6	11	0.3056	7	8	-2.2469	25	0
cpd01171	Dulcose	C6H14O6	0	9	-11.6440	11.6440	182.0000	0.4720	12	0	0	0	0.0000	4	5	-3.5854	4	0
cpd00347	5-10-Methenyltetrahydrofolate	C20H20N7O6	-1	11	11.6110	11.6110	454.0000	16173.1969	33	4	12	26	0.7222	2	7	-3.2829	25	0
cpd00248	Quinate	C7H11O6	-1	24	-11.5890	11.5890	191.0000	1.6498	13	1	0	2	0.1538	4	1	-3.6561	8	0
cpd00438	Deoxyadenosine	C10H13N5O3	0	13	-11.5250	11.5250	251.0000	0.7332	18	3	9	11	0.5500	3	2	-0.9508	14	0
cpd02566	2,3-Dihydroxy-2,3-dihydrobenzoate	C7H7O4	-1	7	11.4270	11.4270	155.0000	1.7033	11	1	0	6	0.5455	2	1	-2.0457	8	0
cpd03356	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate	C10H8NO5	-1	5	-11.4050	11.4050	222.0000	1.1169	16	1	6	14	0.8750	0	4	-1.1338	12	0
cpd01741	ddca	C12H23O2	-1	21	-11.3590	11.3590	199.0000	0.9144	14	0	0	2	0.1538	0	10	2.6572	5	0
cpd00170	Gluconolactone	C6H10O6	0	28	11.3140	11.3140	178.0000	0.3058	12	1	0	2	0.1667	4	1	-3.0132	8	0
cpd03470	Iminoaspartate	C4H4NO4	-1	12	11.2390	11.2390	129.0000		9	0	0	7	0.8750	0	2	-4.3880	6	0
cpd00153	Benzoate	C7H5O2	-1	31	11.2300	11.2300	121.0000	0.5886	9	1	6	9	1.0000	0	1	0.0501	5	0
cpd25067	1-16:0-2-18:2-phosphatidylcholine	C42H80NO8P	0	13	-11.1410	11.1410	757.0000	29276.1284	52	0	0	4	0.0784	2	38	10.9440	15	0
cpd00599	SALC	C7H5O3	-1	30	-11.1090	11.1090	137.0000	0.6467	10	1	6	10	1.0000	0	1	-0.2443	7	0
cpd01183	Kynurenine	C10H12N2O3	0	6	11.1030	11.1030	208.0000	0.8374	15	1	6	11	0.7333	1	4	-1.7980	11	0
cpd01973	4-Guanidinobutanamide	C5H13N4O	1	6	-11.0840	11.0840	145.0000	1.4513	10	0	0	5	0.5556	0	4	-3.0847	8	0
cpd01964	3-Hydroxybenzaldehyde	C7H6O2	0	8	-11.0330	11.0330	122.0000	0.7466	9	1	6	9	1.0000	0	1	1.2047	6	0
