rxn	name	ec_class	dg_gc	dg_eq	dg_dgp	cluster
rxn00327	(S)-ureidoglycolate amidohydrolase (decarboxylating)	3	-1.510	-5.900	-6.110	-1
rxn00328	4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming)	4	3.210	4.360	4.420	22
rxn00330	acetyl-CoA:glyoxylate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)	2;4	8.960	8.100	8.280	18
rxn00331	(3S)-3-carboxy-3-hydroxypropanoyl-CoA glyoxylate-lyase (acetyl-CoA-forming)	4	3.210	3.480	2.560	-1
rxn00332	2-oxoglutarate:glyoxylate succinaldehydetransferase (decarboxylating)	2	10.570	7.020	6.390	-1
rxn00333	Glycolate:oxygen 2-oxidoreductase	1	-24.030	-21.190	-21.460	34
rxn00334	3-oxalomalate glyoxylate-lyase (oxaloacetate-forming)	4	5.020	4.210	-10.280	-1
rxn00335	erythro-3-hydroxy-Ls-aspartate glyoxylate-lyase (glycine-forming)	4	5.020	0.600	-2.020	-1
rxn00336	isocitrate glyoxylate-lyase (succinate-forming)	4	5.020	2.250	2.010	-1
rxn00337	ATP:L-aspartate 4-phosphotransferase	2	-6.900	4.580	4.330	0
rxn00338	L-aspartate:oxygen oxidoreductase	1	-44.720	-17.200	-18.570	-1
