n	rxns	sd_gc	range_gc	sd_eq	range_eq	sd_dgp	range_dgp	empty_dsig
4	rxn02300;rxn11704;rxn14025;rxn14362	0.000	0.000	0.004	0.010	0.004	0.010	0
2	rxn02299;rxn11701	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02295;rxn02779	0.000	0.000	0.050	0.100	3.490	6.980	0
2	rxn02292;rxn04956	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn02290;rxn11887;rxn20024;rxn20025	0.000	0.000	0.000	0.000	0.615	1.420	0
2	rxn02284;rxn02285	0.000	0.000	0.005	0.010	0.295	0.590	0
3	rxn02278;rxn31892;rxn31893	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02277;rxn27785	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02261;rxn14344	0.000	0.000	1.550	3.100	0.950	1.900	0
2	rxn02305;rxn29006	0.000	0.000	0.000	0.000	0.000	0.000	0
7	rxn02972;rxn02973;rxn13980;rxn14049;rxn14174;rxn14319;rxn16862	0.000	0.000	0.000	0.000	0.225	0.580	0
2	rxn02971;rxn15642	0.000	0.000	1.025	2.050	1.900	3.800	0
2	rxn02956;rxn39738	0.000	0.000	0.215	0.430	2.765	5.530	0
